    YYYYMMDD      HHMMSS     JULIAN        YEAR      total_column   error       instrument
    19970228      160553    2450508     1997.160742   8.3053e+015   1.3520e+015      0
    19970301       82836    2450509     1997.162611   1.2760e+016   2.0772e+015      0
    19970301      101111    2450509     1997.162807   1.6643e+016   2.7092e+015      0
    19970301      134023    2450509     1997.163205   1.9260e+016   3.1353e+015      0
    19970303       80512    2450511     1997.168046   8.0326e+015   1.3076e+015      0
    19970311      134048    2450519     1997.190603   1.0871e+016   1.7697e+015      0
    19970319      102336    2450527     1997.212145   1.3206e+016   2.1498e+015      0
    19970320       90121    2450528     1997.214729   1.0911e+016   1.7762e+015      0
    19970320      104341    2450528     1997.214923   1.1684e+016   1.9020e+015      0
    19970320      122548    2450528     1997.215118   1.2149e+016   1.9777e+015      0
    19970323      130929    2450531     1997.223420   2.1031e+016   3.4235e+015      0
    19970326      112850    2450534     1997.231448   7.7584e+015   1.2630e+015      0
    19970327       80227    2450535     1997.233795   1.7806e+016   2.8986e+015      0
    19970327      112800    2450535     1997.234186   1.8656e+016   3.0370e+015      0
    19970403      101836    2450542     1997.253232   1.4264e+016   2.3221e+015      0
    19970404      123119    2450543     1997.256224   1.3643e+016   2.2210e+015      0
    19970409      124345    2450548     1997.269946   1.8377e+016   2.9915e+015      0
    19970409      142603    2450548     1997.270141   1.2183e+016   1.9833e+015      0
    19970410      142925    2450549     1997.272887   5.8275e+015   9.4865e+014      0
    19970413      112636    2450552     1997.280758   1.3256e+016   2.1579e+015      0
    19970413      130853    2450552     1997.280953   1.3552e+016   2.2062e+015      0
    19970413      145105    2450552     1997.281147   1.5796e+016   2.5714e+015      0
    19970414       75550    2450553     1997.283097   1.1724e+016   1.9085e+015      0
    19970414      112030    2450553     1997.283486   1.2272e+016   1.9977e+015      0
    19970414      144738    2450553     1997.283881   2.6122e+016   4.2523e+015      0
    19970418      102024    2450557     1997.294331   7.7169e+015   1.2562e+015      0
    19970418      120542    2450557     1997.294531   1.4834e+016   2.4149e+015      0
    19970421      152008    2450560     1997.303120   2.0522e+016   3.3408e+015      0
    19970428      151703    2450567     1997.322293   2.0314e+016   3.3068e+015      0
    19970429       71615    2450568     1997.324118   1.1983e+016   1.9506e+015      0
    19970429      100123    2450568     1997.324432   1.0491e+016   1.7079e+015      0
    19970429      114640    2450568     1997.324632   1.9065e+016   3.1035e+015      0
    19970430       84609    2450569     1997.327028   2.0840e+016   3.3924e+015      0
    19970430       92506    2450569     1997.327103   2.8005e+016   4.5588e+015      0
    19970430      110726    2450569     1997.327297   2.2821e+016   3.7149e+015      0
    19970430      125356    2450569     1997.327500   1.9071e+016   3.1045e+015      0
    19970430      143603    2450569     1997.327694   1.9163e+016   3.1196e+015      0
    19970525      101726    2450594     1997.395695   9.6047e+015   1.5635e+015      0
    19970525      122254    2450594     1997.395934   8.7614e+015   1.4262e+015      0
    19970525      142556    2450594     1997.396168   8.5808e+015   1.3969e+015      0
    19970527       90530    2450596     1997.401038   5.2071e+015   8.4766e+014      0
    19970602      144703    2450602     1997.418126   7.7741e+015   1.2655e+015      0
    19970623      105224    2450623     1997.475214   2.9135e+015   4.7429e+014      0
    19970710       91703    2450640     1997.521608   3.4727e+015   5.6531e+014      0
