    YYYYMMDD      HHMMSS     JULIAN        YEAR      total_column   error       instrument
    20070808      112925    2454321     2007.601312   1.0966e+016   1.7852e+015      1
    20070808      120104    2454321     2007.601372   1.0673e+016   1.7374e+015      1
    20070808      123239    2454321     2007.601432   5.7708e+015   9.3942e+014      1
    20070808      140733    2454321     2007.601613   7.8482e+015   1.2776e+015      1
    20070808      151049    2454321     2007.601733   4.8052e+015   7.8223e+014      1
    20070808      154227    2454321     2007.601793   5.8359e+015   9.5001e+014      1
    20070808      162214    2454321     2007.601869   4.5250e+015   7.3662e+014      1
    20070811      131528    2454324     2007.609733   5.4936e+015   8.9430e+014      1
    20070826       94910    2454339     2007.650436   6.9379e+015   1.1294e+015      1
    20070826      102046    2454339     2007.650496   5.9751e+015   9.7268e+014      1
    20070826      105222    2454339     2007.650556   5.8671e+015   9.5509e+014      1
    20070826      112400    2454339     2007.650616   9.5588e+015   1.5561e+015      1
    20070826      125110    2454339     2007.650782   7.7408e+015   1.2601e+015      1
    20070826      153755    2454339     2007.651100   7.9912e+015   1.3009e+015      1
    20070827       94544    2454340     2007.653169   1.1750e+016   1.9128e+015      1
    20070827      101330    2454340     2007.653222   1.1834e+016   1.9264e+015      1
    20070827      110906    2454340     2007.653328   4.1377e+015   6.7357e+014      1
    20070827      113651    2454340     2007.653381   1.4317e+016   2.3307e+015      1
    20070827      123227    2454340     2007.653486   1.5790e+016   2.5704e+015      1
    20070827      130014    2454340     2007.653539   5.6017e+015   9.1189e+014      1
    20070828      154723    2454341     2007.656597   1.0862e+016   1.7683e+015      1
    20070830       94920    2454343     2007.661395   6.6199e+015   1.0776e+015      1
    20070830      102058    2454343     2007.661455   7.2771e+015   1.1846e+015      1
    20070830      112409    2454343     2007.661576   7.4454e+015   1.2120e+015      1
    20070830      115545    2454343     2007.661636   1.1949e+016   1.9451e+015      1
    20070830      122722    2454343     2007.661696   1.0869e+016   1.7694e+015      1
    20070830      125858    2454343     2007.661756   9.4844e+015   1.5439e+015      1
    20070830      133037    2454343     2007.661816   1.0708e+016   1.7431e+015      1
    20070830      140215    2454343     2007.661876   1.3800e+016   2.2465e+015      1
    20070830      143352    2454343     2007.661937   1.4664e+016   2.3871e+015      1
    20070830      150542    2454343     2007.661997   1.2456e+016   2.0277e+015      1
    20070830      153752    2454343     2007.662058   1.6578e+016   2.6988e+015      1
    20070830      161945    2454343     2007.662138   1.6828e+016   2.7394e+015      1
    20070831      120003    2454344     2007.664384   1.0094e+016   1.6432e+015      1
    20070831      133453    2454344     2007.664564   8.5150e+015   1.3861e+015      1
    20070831      154126    2454344     2007.664805   1.0549e+016   1.7173e+015      1
    20070902      124518    2454346     2007.669949   1.0966e+016   1.7852e+015      1
    20070902      131654    2454346     2007.670009   1.0689e+016   1.7401e+015      1
    20070902      134831    2454346     2007.670069   1.2364e+016   2.0127e+015      1
    20070902      142009    2454346     2007.670130   1.5637e+016   2.5456e+015      1
